timestamp,game_num,winner,score_diff,total_moves,loss
2025-08-31 08:03:19,1,B,3.5,560,7.5454
2025-08-31 08:09:15,2,B,64.5,543,7.0101
2025-08-31 08:15:48,3,B,9.5,609,6.8546
2025-08-31 08:22:20,4,W,-11.5,607,6.8551
2025-08-31 08:26:41,5,W,-1.5,439,6.8915
2025-08-31 08:33:13,6,W,-13.5,595,6.8532
2025-08-31 08:38:57,7,B,15.5,558,6.8552
2025-08-31 08:46:17,8,B,64.5,667,6.8902
2025-08-31 08:51:39,9,B,24.5,516,6.8905
2025-08-31 08:58:19,10,B,72.5,603,6.8530
2025-08-31 09:03:49,11,B,22.5,526,6.8534
2025-08-31 09:12:15,12,W,-57.5,740,6.8900
2025-08-31 09:18:20,13,B,115.5,568,6.8918
2025-08-31 09:24:10,14,B,2.5,561,6.8927
2025-08-31 09:33:09,15,B,43.5,688,6.8156
2025-08-31 09:43:05,16,B,100.5,595,6.8532
2025-08-31 09:47:49,17,B,21.5,464,6.8898
2025-08-31 09:56:08,18,W,-68.5,718,6.8913
2025-08-31 10:03:09,19,B,4.5,617,6.8158
2025-08-31 10:08:46,20,W,-26.5,535,6.7786
2025-08-31 10:19:23,1,B,46.5,701,6.8870
2025-08-31 10:33:00,2,W,-38.5,1100,6.8117
2025-08-31 10:44:52,3,W,-9.5,966,6.8522
2025-08-31 11:00:16,4,B,51.5,1165,6.8164
2025-08-31 11:12:22,5,W,-1.5,987,6.8558
2025-08-31 11:21:20,6,W,-16.5,804,6.8512
2025-08-31 11:41:00,7,W,-38.5,1435,6.8135
2025-08-31 11:47:54,8,B,0.5,649,6.8498
2025-08-31 11:52:38,9,B,5.5,473,6.8531
2025-08-31 11:59:24,10,B,20.5,632,6.8826
2025-08-31 12:03:52,11,W,-33.5,444,6.8119
2025-08-31 12:10:08,12,B,45.5,595,6.8459
2025-08-31 12:17:05,13,B,60.5,631,6.8815
2025-08-31 12:24:43,14,B,20.5,697,6.7693
2025-08-31 12:46:25,15,B,109.5,1531,6.8077
2025-08-31 12:51:38,16,W,-82.5,489,6.8406
